epoch, batch, loss
0,5,0.232133;
1,5,0.179568;
2,5,0.160855;
3,5,0.146813;
4,5,0.136032;
5,5,0.127499;
6,5,0.12092;
7,5,0.115786;
8,5,0.111555;
9,5,0.108071;
10,5,0.10505;
11,5,0.102404;
12,5,0.100034;
13,5,0.0977923;
14,5,0.0956009;
15,5,0.0937194;
16,5,0.0919928;
17,5,0.0903037;
18,5,0.0887127;
19,5,0.0871843;
20,5,0.0857123;
21,5,0.0841528;
22,5,0.082611;
23,5,0.0812022;
24,5,0.0796651;
25,5,0.0782598;
26,5,0.0768755;
27,5,0.0754851;
28,5,0.074144;
29,5,0.07278;
30,5,0.0714439;
31,5,0.0700512;
32,5,0.0687101;
33,5,0.0672701;
34,5,0.0660073;
35,5,0.0645757;
36,5,0.0633694;
37,5,0.062068;
38,5,0.0607501;
39,5,0.0595326;
40,5,0.0583315;
41,5,0.0571915;
42,5,0.0561159;
43,5,0.0550357;
44,5,0.0541118;
45,5,0.0532036;
46,5,0.052538;
47,5,0.0519608;
48,5,0.0509729;
49,5,0.0505022;
50,5,0.0494476;
51,5,0.0491709;
52,5,0.0481645;
53,5,0.0483558;
54,5,0.0464806;
55,5,0.0480795;
56,5,0.0443487;
57,5,0.0482439;
58,5,0.0421372;
59,5,0.0478747;
60,5,0.0403074;
61,5,0.0464549;
62,5,0.0396898;
63,5,0.0472332;
64,5,0.0373425;
65,5,0.0437877;
66,5,0.0392777;
67,5,0.0483666;
68,5,0.0343967;
69,5,0.0401997;
70,5,0.0407604;
71,5,0.0387573;
72,5,0.0444146;
73,5,0.0332838;
74,5,0.0415826;
75,5,0.0348459;
76,5,0.0447598;
77,5,0.0312766;
78,5,0.0389492;
79,5,0.0350482;
80,5,0.0434782;
81,5,0.030258;
82,5,0.0380537;
83,5,0.0331553;
84,5,0.0407219;
85,5,0.0296187;
86,5,0.0369869;
87,5,0.0314996;
88,5,0.0376645;
89,5,0.0293098;
90,5,0.0355042;
91,5,0.0302026;
92,5,0.0349273;
93,5,0.0294228;
94,5,0.0337583;
95,5,0.0296129;
96,5,0.0328798;
97,5,0.029592;
98,5,0.0319308;
99,5,0.0295758;
