n_layer1,n_layer2,n_layer3,blk_size,time_m1,time_m2,time_m3,time_m4,time_m5,time_m6,time_m7,time_m8,time_m9,time_m10,time_m11,time_batch,time_predict,time_backprgtn,time_rtn,model
100,100,100,0,0,2.23778,2.31333,1.05444,1.05111,0.00222222,0,2.30667,2.33111,2.10556,2.07556,176.567,18.6333,53.1056,83.6011,0
100,100,100,4,515.544,288.452,305.714,271.669,265.833,264.084,0,276.733,285.853,289.618,550.39,3442.54,1391.47,1971.67,63.2489,1
100,100,100,4,7.13333,6.20222,4.25,4.02667,5.31333,5.48556,0,4.29667,3.73111,7.64556,24.99,1388.06,72.3811,242.922,178.03,2
200,200,200,0,0.0122222,8.75556,8.30556,1.96889,2.94333,0,0,9.17556,9.04445,6.72444,6.58444,330.403,42.9078,163.053,99.9244,0
200,200,200,4,516.662,406.564,404.491,273.028,276.418,266.661,0,421.396,409.156,471.061,726.903,4411.76,1616.65,2681.11,96.9511,1
200,200,200,4,7.02,16.1811,60.9567,47.2111,85.69,19.73,0,50.6489,19.5233,11.8544,109.243,3772.11,324.898,1117.4,334.441,2
500,500,500,0,0.0344444,49.25,49.9,2.48667,3.55111,0.0533333,0,51.9344,48.9156,42.0744,42.8511,1100.8,134.327,665.981,284.818,0
500,500,500,4,644.656,806.103,751.397,303.91,292.662,283.838,0,814.053,801.623,866.606,1101.79,8040.53,2544.63,4928.36,545.471,1
500,500,500,4,7.02778,6.62333,16.7656,4.47556,17.8533,7.50778,0,6.65667,4.48,17.1,33.5556,5702.5,136.146,2107.46,1498.76,2
1000,1000,1000,0,1.61778,271.434,330.563,6.32889,8.36778,0.256667,0,341.196,268.59,252.573,251.563,6215.15,677.271,3955.08,1559,0
1000,1000,1000,4,620.007,1793.13,1774.65,342.14,277.179,280.531,0,2427.34,2233.7,1817.68,2118.65,20148.8,4603.1,12907.8,2608.36,1
1000,1000,1000,0,1.34111,249.822,298.184,5.45444,7.19333,0.274444,0,303.096,244.001,241.801,241.407,5808.93,620.32,3742.59,1423.42,0
2000,2000,2000,4,759.381,6122.1,6171.17,471.531,319.947,300.579,0,8625.17,8495.57,6343.27,6759.16,130434,13671.6,106293,10416,1
2000,2000,2000,8,666.296,5968.78,5969.58,435.604,318.441,304.592,0,8398.54,8138.01,5943.66,6288.84,118857,13182.1,95328.8,10297.7,1
2000,2000,2000,16,657.218,5931.58,6011.58,428.93,313.321,284.214,0,7955.26,7573.77,5852.48,6139.26,118921,13170.5,95398.3,10300.7,1
2000,2000,2000,32,738.958,6051.46,6067.03,446.081,305.813,284.651,0,7715.4,7353.92,6012.26,6370.19,121270,13441.7,97541.5,10232.5,1
1000,1000,1000,32,576.189,1687.84,1719.56,331.244,274.882,257.47,0,2133.06,2024.78,1773.42,2068.11,18093.8,4387.94,11465.1,2212.75,1
1000,1000,1000,16,645.968,1739.2,1703.08,319.382,287.711,262.494,0,2270.66,2126.39,1804.48,2198.87,18648.4,4486.22,11900,2230.45,1
1000,1000,1000,8,596.633,1740.61,1767.93,334.119,283.699,263.899,0,2541.03,2356.47,1825.58,2119.95,19382.5,4511.34,12461.4,2381.15,1
500,500,500,8,588.824,762.717,751.663,291.238,291.779,265.751,0,795.516,796.944,806.746,1099.08,7840.44,2446.91,4812.08,555.519,1
500,500,500,8,7.31778,7.33889,11.7922,5.66444,8.30444,8.64667,0,5.05667,4.88,15.7633,31.3644,6163.32,151.376,2057.1,1272.25,2
